steps,return
33,968.586438888889
36,969.5744277777778
39,971.3371166666665
42,967.8497611111112
45,968.4827166666668
48,970.2461611111111
51,978.3139277777778
54,964.3438277777778
57,975.2026111111112
60,979.5411277777779
63,983.6978833333334
66,988.3137666666664
69,990.073538888889
72,989.2906444444444
75,992.2600888888887
78,1013.9177055555551
81,1003.3571277777778
84,1009.8810888888888
87,1016.4086222222223
90,1022.2491166666665
93,1027.2511833333333
96,1030.3015500000001
99,1038.8007388888889
102,1038.6206944444446
105,1056.9274666666665
108,1063.3166666666668
111,1107.7522555555556
114,1099.248377777778
117,1121.5196333333333
120,1115.9695166666668
123,1137.9534388888887
126,1152.4954055555554
129,1164.6500777777778
132,1179.204094444444
135,1187.2759611111112
138,1210.6677888888887
141,1225.6975388888886
144,1243.5468722222224
147,1255.1279444444447
150,1263.883505555556
153,1268.7836388888888
156,1271.1768333333332
159,1281.1050722222226
162,1293.003388888889
165,1297.3769388888886
168,1309.5528
171,1317.7902611111103
174,1329.2882388888893
177,1340.7670111111108
180,1355.4563444444443
183,1364.2195777777774
186,1365.0232222222226
189,1369.628661111111
192,1369.4711833333333
195,1370.1486444444445
198,1371.1838666666672
201,1374.5804166666667
204,1379.9646722222221
207,1386.002711111111
210,1387.6954222222219
213,1391.201366666667
216,1394.3453944444445
219,1396.8872777777774
222,1398.334872222222
225,1396.204005555555
228,1401.1234555555554
231,1400.9789444444443
234,1402.2049055555556
237,1400.1381277777775
240,1398.4967666666664
243,1390.9483666666674
246,1397.4765277777778
249,1382.3507500000003
252,1389.7138222222222
255,1384.1097888888887
258,1393.9177111111114
261,1379.4869777777783
264,1388.0382833333329
267,1383.4693333333337
270,1374.9244777777776
273,1365.4231611111115
276,1372.2268388888888
279,1371.4067277777776
282,1370.6849555555555
285,1359.884688888889
288,1369.0194333333332
291,1367.7765222222222
294,1367.0736666666667
297,1368.4572888888888
300,1366.4032888888885
303,1370.27315
306,1368.0270388888885
309,1363.8556222222223
312,1370.6231
315,1367.226988888889
318,1364.7942666666668
