Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.10238,-1.8464E-05,0.0026538,0,0,0,7.3,0.0090197,2.2679E-06,6.4897E-05,0.0094033,-2.1628E-08,0.01573,0,0,0,0,0,0,package://stoch_4_urdf/meshes/base_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://stoch_4_urdf/meshes/base_link.STL,,Torso_Assembly-1;sensor box - Copy-1;back cover_B-3;FAM_L-8;BAM_L-1;BAM_R-1;FAM_R-9,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
FL_Link,0.070269,-0.036118,-2.5973E-07,0,0,0,0.978,0.00045941,-6.723E-07,3.3247E-08,0.00059328,5.8817E-09,0.00046214,0,0,0,0,0,0,package://stoch_4_urdf/meshes/FL_Link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://stoch_4_urdf/meshes/FL_Link.STL,,AASF_L-1;FHM_L-2;FAC_L-1,FLA_C,FLA_A,FL_Joint,revolute,0.18598,0.10004,-0.0005,0,0,0.00021134,base_link,1,0,0,100,100,-1.5708,1.5708,,,,,,,,
FLKM_Link,-0.072527,0.076425,1.3632E-05,0,0,0,1.547,0.00031538,-4.0486E-06,-4.8939E-07,0.0031011,6.4773E-11,0.0028703,0,0,0,0,0,0,package://stoch_4_urdf/meshes/FLKM_Link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://stoch_4_urdf/meshes/FLKM_Link.STL,,FKM_L-1,FLH_C,FLH_A,FLKM_Joint,revolute,0.074,-0.01975,0,0,0,0,FL_Link,0,-1,0,100,100,-1.5708,6.2832,,,,,,,,
FLK_Link,0.18227,2.469E-07,-0.017857,0,0,0,0.2,2.1525E-05,-8.02E-10,2.6374E-05,0.00042744,-2.0344E-10,0.00040935,0,0,0,0,0,0,package://stoch_4_urdf/meshes/FLK_Link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://stoch_4_urdf/meshes/FLK_Link.STL,,FK_L-2,FLK_C,FLK_A,FLK_Joint,continuous,-0.297,0.1385,0,0,0,0,FLKM_Link,0,1,0,0,0,0,0,,,,,,,,
FR_Link,0.07027,0.036118,-2.9553E-07,0,0,0,0.978,0.00045941,6.965E-07,-3.3418E-08,0.00059328,-5.8767E-09,0.00046214,0,0,0,0,0,0,package://stoch_4_urdf/meshes/FR_Link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://stoch_4_urdf/meshes/FR_Link.STL,,AASF_R-8;FHM_R-2;FAC_R-1,FRA_C,FRA_A,FR_Joint,revolute,0.18602,-0.099961,-0.0005,0,0,0.00021134,base_link,1,0,0,100,100,-1.5708,1.5708,,,,,,,,
FRKM_Link,-0.072527,-0.076425,-1.3633E-05,0,0,0,1.547,0.00031538,4.0486E-06,4.8938E-07,0.0031011,6.4797E-11,0.0028703,0,0,0,0,0,0,package://stoch_4_urdf/meshes/FRKM_Link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://stoch_4_urdf/meshes/FRKM_Link.STL,,FKM_R-1,FRH_C,FRH_A,FRKM_Joint,revolute,0.074,0.01975,0,0,0,0,FR_Link,0,1,0,100,100,-1.5708,6.2832,,,,,,,,
FRK_Link,0.18227,2.469E-07,-0.017857,0,0,0,0.2,2.1525E-05,-8.02E-10,2.6374E-05,0.00042744,-2.0344E-10,0.00040935,0,0,0,0,0,0,package://stoch_4_urdf/meshes/FRK_Link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://stoch_4_urdf/meshes/FRK_Link.STL,,FK_R-2,FRK_C,FRK_A,FRK_Joint,continuous,-0.297,-0.1385,0,0,0,0,FRKM_Link,0,-1,0,0,0,0,0,,,,,,,,
BL_Link,-0.06995,-0.037322,-1.8681E-06,0,0,0,0.978,0.00039025,5.9364E-08,1.1626E-07,0.00050148,5.3635E-09,0.00037524,0,0,0,0,0,0,package://stoch_4_urdf/meshes/BL_Link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://stoch_4_urdf/meshes/BL_Link.STL,,AASB_L-1;BHM_L-1;RAC_L-1,BLA_C,BLA_A,BL_Joint,revolute,-0.18602,0.099961,-0.0005,0,0,0.00021134,base_link,-1,0,0,100,100,-1.5708,1.5708,,,,,,,,
BLKM_Link,-0.072527,0.076425,1.3632E-05,0,0,0,1.547,0.00031538,-4.0486E-06,-4.8939E-07,0.0031011,6.4774E-11,0.0028703,0,0,0,0,0,0,package://stoch_4_urdf/meshes/BLKM_Link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://stoch_4_urdf/meshes/BLKM_Link.STL,,BKM_L-2,BLH_C,BLH_A,BLKM_Joint,revolute,-0.074,-0.01975,0,0,0,0,BL_Link,0,-1,0,100,100,-1.5708,6.2832,,,,,,,,
BLK_Link,0.18227,2.469E-07,-0.017857,0,0,0,0.2,2.1525E-05,-8.02E-10,2.6374E-05,0.00042744,-2.0344E-10,0.00040935,0,0,0,0,0,0,package://stoch_4_urdf/meshes/BLK_Link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://stoch_4_urdf/meshes/BLK_Link.STL,,FK_L-3,BLK_C,BLK_A,BLK_Joint,continuous,-0.297,0.1385,0,0,0,0,BLKM_Link,0,1,0,0,0,0,0,,,,,,,,
